,path,file,prerequisite
428,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Gorgon\Granite Venom Strike.md,Granite Venom Strike, Stone-Sinew Offensive
429,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Gorgon\Life-Devouring Hellion Blade.md,Life-Devouring Hellion Blade, Granite Venom Strike
430,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Gorgon\Shackles of Lassitude.md,Shackles of Lassitude, Stone-Sinew Offensive
431,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heartsong\Delirium’s Dart.md,Delirium’s Dart, Lover’s Quarrel
432,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heartsong\Heart-Commanding Arrow.md,Heart-Commanding Arrow, Lover’s Quarrel
433,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heartsong\Lover’s Quarrel.md,Lover’s Quarrel, Ardor-Sharing Technique
434,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heartsong\Radiant Sun-Heart Shot.md,Radiant Sun-Heart Shot,There Is No Wind
435,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heartsong\Suitor-Punishing Shot.md,Suitor-Punishing Shot, Ardor-Sharing Technique
436,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heaven and Earth Gauntlets\Comet-Diverting Guard.md,Comet-Diverting Guard, Falling Star Fists
437,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heaven and Earth Gauntlets\Legend-Forging Blow.md,Legend-Forging Blow, Meteor Fist Meditation
438,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heaven and Earth Gauntlets\Meteor Fist Meditation.md,Meteor Fist Meditation,Nova Breaker
439,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heaven and Earth Gauntlets\Mountain-Halting Might.md,Mountain-Halting Might,Iron Battle Focus
440,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Heaven and Earth Gauntlets\Nova Breaker.md,Nova Breaker, Comet-Diverting Guard
441,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Irenio’s Bell\Demon-Calling Crescendo.md,Demon-Calling Crescendo,Singing Shield Technique
442,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Irenio’s Bell\Resounding Thunder Deflection.md,Resounding Thunder Deflection,Heavenly Guardian Defense
443,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Irenio’s Bell\Shield-and-Sword Harmony.md,Shield-and-Sword Harmony, Chiming Castigation
444,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Irenio’s Bell\Singing Shield Technique.md,Singing Shield Technique, Shield-and-Sword Harmony
445,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Irenio’s Bell\Sound and Fury.md,Sound and Fury, Shield-and-Sword Harmony
446,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Mistweaver\Brumous Entanglement.md,Brumous Entanglement, Death in the Mist
447,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Mistweaver\Cloud-Gathering Practice.md,Cloud-Gathering Practice, Death in the Mist
448,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Mistweaver\Cloud-Warrior Stance.md,Cloud-Warrior Stance, Fog-Raising Gesture
449,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Mistweaver\Death in the Mist.md,Death in the Mist, Sea-Smoke Veil
450,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Mistweaver\Mist-Weaving Mastery.md,Mist-Weaving Mastery, Brumous Entanglement
451,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Mistweaver\Sea-Smoke Veil.md,Sea-Smoke Veil, Fog-Raising Gesture
452,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Cobweb Glamours Torn Asunder.md,Cobweb Glamours Torn Asunder,Watcher at the Gates of Chaos
453,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Dream-Rending Strike.md,Dream-Rending Strike,Truth in Silvered Reflections
454,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Night of Endless Horrors.md,Night of Endless Horrors, Primal Horror Fang
455,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Nightmare-Drinking Thirst.md,Nightmare-Drinking Thirst, Cracked Mirror Blight
456,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Primal Horror Fang.md,Primal Horror Fang, Cracked Mirror Blight
457,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Truth in Silvered Reflections.md,Truth in Silvered Reflections, Cracked Mirror Blight
458,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Nightmare Shard\Watcher at the Gates of Chaos.md,Watcher at the Gates of Chaos, Truth in Silvered Reflections
459,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Rainwalker\Arrows Like Raindrops.md,Arrows Like Raindrops, Buoyant Guardian Aegis
460,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Rainwalker\Glamour-Sloughing Parasol.md,Glamour-Sloughing Parasol, Breeze-Catching Descent
461,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Rainwalker\Laughing at Hailstorms.md,Laughing at Hailstorms, Rising Cyclone Deflection
462,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Rainwalker\Rising Cyclone Deflection.md,Rising Cyclone Deflection,Shelter from the Storm
463,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Rainwalker\Shelter from the Storm.md,Shelter from the Storm, Arrows Like Raindrops
464,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Razor Dancer and Wise Steel\Razor Steel Lovers Form.md,Razor Steel Lovers Form,Wise Steel Form
465,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sekhem\Fire That Burns Flame.md,Fire That Burns Flame, Dragon’s Scorching Breath
466,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sekhem\Incandescent Exhalation.md,Incandescent Exhalation, Smoldering Steel Ignition
467,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sekhem\Phoenix-Immolating Conflagration.md,Phoenix-Immolating Conflagration, Stronger Than Fire
468,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sekhem\Smoldering Steel Ignition.md,Smoldering Steel Ignition, Fire That Burns Flame
469,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sekhem\Stone Cannot Endure.md,Stone Cannot Endure, Smoldering Steel Ignition
470,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sekhem\Stronger Than Fire.md,Stronger Than Fire, Incandescent Exhalation
471,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Shipbreaker\Crushing Force of the Depths.md,Crushing Force of the Depths, Kraken’s Unseen Arm
472,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Shipbreaker\Kraken’s Unseen Arm.md,Kraken’s Unseen Arm, Draw to the Deep
473,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Shipbreaker\Maelstrom-Summoning Shot.md,Maelstrom-Summoning Shot, Thousand-League-Current Pursuit
474,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Shipbreaker\Thousand-League-Current Pursuit.md,Thousand-League-Current Pursuit, Crushing Force of the Depths
475,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sirrush\Devil’s Last Gasp.md,Devil’s Last Gasp, Forked-Lightning Flame Attack
476,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sirrush\Fiery Gale Barrage.md,Fiery Gale Barrage, Storm-Dueling Maneuver
477,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sirrush\Forked-Lightning Flame Attack.md,Forked-Lightning Flame Attack, Fiery Gale Barrage
478,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sirrush\Inferno-Drinking Stance.md,Inferno-Drinking Stance, Firedust-Gathering Practice
479,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sirrush\Storm-Dueling Maneuver.md,Storm-Dueling Maneuver, Lightning Draw Method
480,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sirrush\Wind-Fire Twister.md,Wind-Fire Twister,Inferno-Drinking Stance
481,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Agony Mandala Meditation.md,Agony Mandala Meditation,Soul Reaper Enlightenment
482,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Blood-Stained Secrets Initiation.md,Blood-Stained Secrets Initiation,Charms/Solar/Occult/Terrestrial Circle Sorcery|Terrestrial Circle Sorcery
483,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Pain-Eating Empowerment.md,Pain-Eating Empowerment, Soul-Drinking Hunger
484,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Sorcerer’s Reaving Strike.md,Sorcerer’s Reaving Strike, Blood-Stained Secrets Initiation
485,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Soul Reaper Enlightenment.md,Soul Reaper Enlightenment, Blood-Stained Secrets Initiation
486,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Soul-Devouring Axe.md,Soul-Devouring Axe,Sorcerer’s Reaving Strike
487,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Soulfarer\Void Rite Awakening.md,Void Rite Awakening, Agony Mandala Meditation
488,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Stormcaller\Divine Tempest Blade.md,Divine Tempest Blade, Hungry Tiger Technique
489,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Stormcaller\Sleeping Devil, Wake!.md","Sleeping Devil, Wake!",Storm Binding — Lightning Cleaves the Heavens
490,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Stormcaller\Storm Binding — Falling Sky Strike.md,Storm Binding — Falling Sky Strike, Divine Tempest Blade
491,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Stormcaller\Storm Binding — Lightning Cleaves the Heavens.md,Storm Binding — Lightning Cleaves the Heavens, Fulminating Edge Flash
492,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Stormcaller\Storm Binding — Tempest of 10,000 Hells.md","Storm Binding — Tempest of 10,000 Hells", Storm Binding — Falling Sky Strike
493,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Strife’s Crucible\Final Blood Sanction.md,Final Blood Sanction, Truth in Strife Riposte
494,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Strife’s Crucible\First Blood Poise.md,First Blood Poise, Gleaming Dagger Dissent
495,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Strife’s Crucible\Shining Duelist’s Challenge.md,Shining Duelist’s Challenge, Majestic Radiant Presence
496,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Strife’s Crucible\Terms of the Spear.md,Terms of the Spear, Final Blood Sanction
497,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Strife’s Crucible\Truth in Strife Riposte.md,Truth in Strife Riposte, First Blood Poise
498,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Summer Thunder\Evoke the Equestrian Echo.md,Evoke the Equestrian Echo,Phantom Steed
499,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Summer Thunder\Laughing Stallion’s Escape.md,Laughing Stallion’s Escape, Nock-and-Canter Unity
500,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Summer Thunder\Nock-and-Canter Unity.md,Nock-and-Canter Unity, Hooves Like Sunlight
501,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Summer Thunder\Phantom Cavalry Cavalcade.md,Phantom Cavalry Cavalcade, Evoke the Equestrian Echo
502,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Summer Thunder\Skirmisher’s Piercing Deliverance.md,Skirmisher’s Piercing Deliverance, Laughing Stallion’s Escape
503,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Summer Thunder\Squadron-Inspiring Flare.md,Squadron-Inspiring Flare, Skirmisher’s Piercing Deliverance
504,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Blazing Sundog Strike.md,Blazing Sundog Strike,Killing Hand of Kiragaru
505,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Blinding Noonday Sun Attack.md,Blinding Noonday Sun Attack, Burning Faith Arc
506,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Darkest Before Dawn.md,Darkest Before Dawn, Burning Faith Arc
507,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Eclipsed Star Feint.md,Eclipsed Star Feint, Horizon-Darkening Dawn
508,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Horizon-Darkening Dawn.md,Horizon-Darkening Dawn,Blinding Noonday Sun Attack
509,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Incandescent Sunfire Ascendancy.md,Incandescent Sunfire Ascendancy, Darkest Before Dawn
510,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Killing Hand of Kiragaru.md,Killing Hand of Kiragaru,Triple Distance Attack Technique
511,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Revolutionary Sun Mandala.md,Revolutionary Sun Mandala,Whirling Starfall Volley
512,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sunflash\Whirling Starfall Volley.md,Whirling Starfall Volley, Darkest Before Dawn
513,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sun’s Brush\Battle-Scholar Sagacity.md,Battle-Scholar Sagacity, Cloud-Wreathed Scholar
514,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sun’s Brush\Incomparable Savant Surety.md,Incomparable Savant Surety, Radiant Brushstrokes Flourish
515,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sun’s Brush\Radiant Brushstrokes Flourish.md,Radiant Brushstrokes Flourish, Filling Blank Pages
516,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Sun’s Brush\Whirling Sunfire Calligraphy.md,Whirling Sunfire Calligraphy, Incomparable Savant Surety
517,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Talion\Contrition-Appraising Stare.md,Contrition-Appraising Stare, Staff of Fury
518,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Talion\Curse of Talion.md,Curse of Talion,"Rise Up, Penitent!"
519,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Talion\Path of the Nemesis.md,Path of the Nemesis, Staff of Fury
520,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Talion\Rise Up, Penitent!.md","Rise Up, Penitent!",Contrition-Appraising Stare
521,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Talion\Staff of Fury.md,Staff of Fury, Humble the Wicked
522,"C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Talion\Way of 10,000 Indignations.md","Way of 10,000 Indignations", Staff of Fury
523,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Distaff\Silkworm’s Nostrum.md,Silkworm’s Nostrum, Wound-Mending Care Technique
524,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Distaff\Snarled-Silk Pankratiast.md,Snarled-Silk Pankratiast, Poppet-Knitting Practice
525,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Distaff\The Silken Army.md,The Silken Army, Snarled-Silk Pankratiast
526,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Distaff\Wrapped Fly Atemi.md,Wrapped Fly Atemi, Tarantula’s Grip
527,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Amnesia’s Razor.md,Amnesia’s Razor,Lacunar Mantle
528,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Amnestic Desolation.md,Amnestic Desolation,Technique-Dissociating Stroke
529,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Death of the Past.md,Death of the Past, Elegant Fugue Strike
530,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Faceless Warrior Method.md,Faceless Warrior Method, Easily-Overlooked Presence Method
531,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Lacunar Mantle.md,Lacunar Mantle,Mental Invisibility Technique
532,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Technique-Dissociating Stroke.md,Technique-Dissociating Stroke, Death of the Past
533,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\To Fall Unmourned.md,To Fall Unmourned, Amnestic Desolation
534,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Forgotten Blade\Winds of Lethe.md,Winds of Lethe, Death of the Past
535,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Hawk Star’s Jess\Falling Star Stone.md,Falling Star Stone, Doom-Gathering Arc
536,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Hawk Star’s Jess\Stone of the Corpse.md,Stone of the Corpse, Titan-Subduing Stone
537,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Hawk Star’s Jess\Stone of the Sword.md,Stone of the Sword, Stone of the Corpse
538,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Hawk Star’s Jess\Titan-Subduing Stone.md,Titan-Subduing Stone, Falling Star Stone
539,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\The Hawk Star’s Jess\Unleash the Hawk Star.md,Unleash the Hawk Star, Stone of the Sword
540,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Tusk of Galaech-Ma\Bloodthirsty Hunter’s Focus.md,Bloodthirsty Hunter’s Focus, Hide-Splitting Thrust
541,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Tusk of Galaech-Ma\Flashing Spear Strike.md,Flashing Spear Strike,Godspeed Steps
542,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Tusk of Galaech-Ma\Giant-Felling Stroke.md,Giant-Felling Stroke, Bloodthirsty Hunter’s Focus
543,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Tusk of Galaech-Ma\Hunting Otherworldly Horrors.md,Hunting Otherworldly Horrors,Sharp Light of Judgment Stance
544,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Tusk of Galaech-Ma\Implacable Hunter Spirit.md,Implacable Hunter Spirit, Bloodthirsty Hunter’s Focus
545,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Tusk of Galaech-Ma\Legend-Slaying Strike.md,Legend-Slaying Strike, Giant-Felling Stroke
546,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Vainglory\Commanding Solar Corona.md,Commanding Solar Corona, Majestic Radiant Presence
547,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Vainglory\Crowned by Nightmares.md,Crowned by Nightmares, Wounded Enmity’s Grace
548,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Vainglory\Heart-Fettering Glory.md,Heart-Fettering Glory,Commanding Solar Corona
549,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Vainglory\Wounded Enmity’s Grace.md,Wounded Enmity’s Grace, Subjugating Strike
550,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Zelator\Breaking the Hexmanse.md,Breaking the Hexmanse,Dawnfire Mantle
551,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Zelator\Dawnfire Mantle.md,Dawnfire Mantle, Corona of Radiance
552,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Zelator\Devil-Trouncing Charge.md,Devil-Trouncing Charge,League of Iron Preparation
553,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Zelator\Goetic Condemnation.md,Goetic Condemnation,Hell-War Veteran’s Benison
554,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Arms of the Chosen\Weapons\Zelator\Golden Deviltry Mirror.md,Golden Deviltry Mirror, Spell-Piercing Strike
